duration_s,duration_min,duration_hours,strategy,total_g,operational_g,embodied_g,embodied_pct,power_w,server_age,samples,std_total_g
5,0.0833333333333333,0.0013888888888888,operational_only,0.089526,0.0707029999999999,0.018823,21.025177043540424,68.9,0.5,10,0.0
5,0.0833333333333333,0.0013888888888888,embodied_prioritized,0.1029,0.0987169999999999,0.004183,4.06511175898931,96.20000000000002,4.0,10,1.3877787807814457e-17
5,0.0833333333333333,0.0013888888888888,balanced,0.089526,0.0707029999999999,0.018823,21.025177043540424,68.9,0.5,10,0.0
15,0.25,0.0041666666666666,operational_only,0.268577,0.2121089999999999,0.056468,21.02488299444852,68.9,0.5,10,0.0
15,0.25,0.0041666666666666,embodied_prioritized,0.3087,0.2961520000000001,0.012548,4.06478781988986,96.20000000000002,4.0,10,0.0
15,0.25,0.0041666666666666,balanced,0.268577,0.2121089999999999,0.056468,21.02488299444852,68.9,0.5,10,0.0
30,0.5,0.0083333333333333,operational_only,0.477831,0.364894,0.112936,23.635134597797126,68.9,0.5,10,0.0
30,0.5,0.0083333333333333,embodied_prioritized,0.6174,0.592303,0.025097,4.064949789439586,96.20000000000002,4.0,10,0.0
30,0.5,0.0083333333333333,balanced,0.537154,0.4242169999999999,0.112936,21.02488299444852,68.9,0.5,10,0.0
60,1.0,0.0166666666666666,operational_only,0.955661,0.729789,0.225873,23.635263969127127,68.9,0.5,10,1.1102230246251563e-16
60,1.0,0.0166666666666666,embodied_prioritized,1.069144,1.01895,0.050194,4.694783864474758,96.20000000000002,4.0,10,0.0
60,1.0,0.0166666666666666,balanced,0.955661,0.729789,0.225873,23.635263969127127,68.9,0.5,10,1.1102230246251563e-16
300,5.0,0.0833333333333333,operational_only,4.778307,3.648944,1.129363,23.635212220562636,68.9,0.5,10,0.0
300,5.0,0.0833333333333333,embodied_prioritized,5.345722,5.094752,0.25097,4.6947821080108545,96.20000000000002,4.0,10,0.0
300,5.0,0.0833333333333333,balanced,4.778307,3.648944,1.129363,23.635212220562636,68.9,0.5,10,0.0
600,10.0,0.1666666666666666,operational_only,9.556615,7.297888,2.258727,23.635220211340517,68.9,0.5,10,1.7763568394002505e-15
600,10.0,0.1666666666666666,embodied_prioritized,10.691442999999998,10.189504,0.501939,4.694773193852319,96.20000000000002,4.0,10,1.7763568394002505e-15
600,10.0,0.1666666666666666,balanced,9.556615,7.297888,2.258727,23.635220211340517,68.9,0.5,10,1.7763568394002505e-15
1800,30.0,0.5,operational_only,28.669845,21.893664,6.776180999999999,23.635220211340528,68.9,0.5,10,0.0
1800,30.0,0.5,embodied_prioritized,32.07433000000001,30.568512,1.505818,4.694776165238681,96.20000000000002,4.0,10,7.105427357601002e-15
1800,30.0,0.5,balanced,28.669845,21.893664,6.776180999999999,23.635220211340528,68.9,0.5,10,0.0
3600,60.0,1.0,operational_only,57.339689,43.787328,13.552361,23.63521887954432,68.9,0.5,10,0.0
3600,60.0,1.0,embodied_prioritized,64.14866000000002,61.137024,3.011636,4.694776165238681,96.20000000000002,4.0,10,1.4210854715202004e-14
3600,60.0,1.0,balanced,57.339689,43.787328,13.552361,23.63521887954432,68.9,0.5,10,0.0
