ci_value,strategy,baseline_mean_g,strategy_mean_g,difference_g,pct_difference,t_statistic,p_value,significant
175.0,embodied_prioritized,112.08544558521564,92.85454346338122,-19.23090212183442,-17.157358853709216,1.1699978306941412e+16,0.0,True
175.0,balanced,112.08544558521564,101.09635865845313,-10.98908692676251,-9.804205059262395,5979873561050027.0,0.0,True
200.0,embodied_prioritized,120.35344558521557,104.39854346338122,-15.954902121834351,-13.25670573389407,6139168294839952.0,0.0,True
200.0,balanced,120.35344558521557,111.2363586584531,-9.117086926762468,-7.575260419368024,3076803877065617.0,0.0,True
225.0,embodied_prioritized,128.6214455852156,115.94254346338127,-12.67890212183434,-9.85753352727962,7713776443845003.0,0.0,True
225.0,balanced,128.6214455852156,121.37635865845314,-7.245086926762468,-5.6328763013026295,4407872253625709.0,0.0,True
250.0,embodied_prioritized,136.88944558521558,127.4865434633812,-9.402902121834387,-6.868975238840419,4045128447712930.5,0.0,True
250.0,balanced,136.88944558521558,131.5163586584531,-5.373086926762483,-3.925128707908793,3268957435598185.5,0.0,True
275.0,embodied_prioritized,145.15744558521556,139.03054346338124,-6.12690212183432,-4.220866588780997,1863787290374314.5,0.0,True
275.0,balanced,145.15744558521556,141.65635865845312,-3.50108692676244,-2.411923765017693,1065021308785313.9,0.0,True
300.0,embodied_prioritized,153.42544558521558,150.57454346338127,-2.8509021218343094,-1.8581677315389389,1226458079139009.5,0.0,True
300.0,balanced,153.42544558521558,151.7963586584531,-1.6290869267624828,-1.0618101323079783,700833188079442.8,0.0,True
325.0,embodied_prioritized,161.6934455852156,162.1185434633812,0.4250978781655874,0.2629035930473462,-258627282347676.25,0.0,True
325.0,balanced,161.6934455852156,161.93635865845314,0.2429130732375313,0.1502306245985162,-147787018484418.53,0.0,True
350.0,embodied_prioritized,169.9614455852156,173.6625434633812,3.701097878165598,2.1776102606222736,-inf,0.0,True
350.0,balanced,169.9614455852156,172.0763586584531,2.1149130732374886,1.2443487203555874,-1286701836511924.5,0.0,True
